round,id,score,position,services
53,1,28272.014875131223,9,"[{""lost"":136,""score"":3272.014875131222,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":3272.014875131222,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
53,0,28245.257625210244,10,"[{""lost"":138,""score"":3245.2576252102444,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":3245.2576252102444,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
137,9,33954.62869736529,3,"[{""lost"":59,""score"":9223.94083863943,""stolen"":624,""shortname"":""SeaOfHackerz"",""totalScore"":8954.628697365286,""totalChecks"":137,""successfulChecks"":133},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":137,""successfulChecks"":137},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":137,""successfulChecks"":137},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":137,""successfulChecks"":137},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":48,""successfulChecks"":48},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":48,""successfulChecks"":48}]"
137,8,30655.435182439734,4,"[{""lost"":36,""score"":9107.634803104282,""stolen"":597,""shortname"":""SeaOfHackerz"",""totalScore"":8442.843941563822,""totalChecks"":137,""successfulChecks"":127},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":4854.014598540146,""totalChecks"":137,""successfulChecks"":133},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":4890.510948905109,""totalChecks"":137,""successfulChecks"":134},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":4343.065693430657,""totalChecks"":137,""successfulChecks"":119},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":3125,""totalChecks"":48,""successfulChecks"":30},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":48,""successfulChecks"":48}]"
54,4,31832.32943578663,1,"[{""lost"":0,""score"":7686.370615259959,""stolen"":217,""shortname"":""SeaOfHackerz"",""totalScore"":6832.32943578663,""totalChecks"":54,""successfulChecks"":48},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
54,6,31459.69620833911,2,"[{""lost"":6,""score"":6976.471905006241,""stolen"":162,""shortname"":""SeaOfHackerz"",""totalScore"":6459.696208339113,""totalChecks"":54,""successfulChecks"":50},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
54,9,31433.727356121617,3,"[{""lost"":31,""score"":6555.118438312591,""stolen"":154,""shortname"":""SeaOfHackerz"",""totalScore"":6433.727356121617,""totalChecks"":54,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
54,8,30149.17775292494,4,"[{""lost"":6,""score"":6899.093850162177,""stolen"":156,""shortname"":""SeaOfHackerz"",""totalScore"":6260.28886403605,""totalChecks"":54,""successfulChecks"":49},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":4722.222222222222,""totalChecks"":54,""successfulChecks"":51},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":4166.666666666667,""totalChecks"":54,""successfulChecks"":45},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
54,5,28855.401519856227,5,"[{""lost"":105,""score"":4841.667024935726,""stolen"":88,""shortname"":""SeaOfHackerz"",""totalScore"":3855.401519856226,""totalChecks"":54,""successfulChecks"":43},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
54,7,28724.11126397823,6,"[{""lost"":60,""score"":4189.625171975509,""stolen"":1,""shortname"":""SeaOfHackerz"",""totalScore"":3724.11126397823,""totalChecks"":54,""successfulChecks"":48},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":54,""successfulChecks"":54},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
