round,shortname,attackers,victims,firstBloodTeamId,firstBloodTimestamp
37,ArcaneLink,0,0,,
37,MaScroll-1,0,0,,
37,MaScroll-2,0,0,,
37,NorthernFiles,0,0,,
37,UberPendragon,0,0,,
38,SeaOfHackerz,5,6,7,2023-08-03T16:38:51.493Z
38,ArcaneLink,0,0,,
38,MaScroll-1,0,0,,
38,MaScroll-2,0,0,,
38,NorthernFiles,0,0,,
38,UberPendragon,0,0,,
39,SeaOfHackerz,5,6,7,2023-08-03T16:38:51.493Z
39,ArcaneLink,0,0,,
39,MaScroll-1,0,0,,
39,MaScroll-2,0,0,,
39,NorthernFiles,0,0,,
39,UberPendragon,0,0,,
40,SeaOfHackerz,4,6,7,2023-08-03T16:38:51.493Z
40,ArcaneLink,0,0,,
40,MaScroll-1,0,0,,
40,MaScroll-2,0,0,,
40,NorthernFiles,0,0,,
40,UberPendragon,0,0,,
41,SeaOfHackerz,5,6,7,2023-08-03T16:38:51.493Z
41,ArcaneLink,0,0,,
41,MaScroll-1,0,0,,
41,MaScroll-2,0,0,,
41,NorthernFiles,0,0,,
41,UberPendragon,0,0,,
42,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
42,ArcaneLink,0,0,,
42,MaScroll-1,0,0,,
42,MaScroll-2,0,0,,
42,NorthernFiles,0,0,,
42,UberPendragon,0,0,,
43,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
43,ArcaneLink,0,0,,
43,MaScroll-1,0,0,,
43,MaScroll-2,0,0,,
43,NorthernFiles,0,0,,
43,UberPendragon,0,0,,
44,SeaOfHackerz,4,5,7,2023-08-03T16:38:51.493Z
44,ArcaneLink,0,0,,
44,MaScroll-1,0,0,,
44,MaScroll-2,0,0,,
44,NorthernFiles,0,0,,
44,UberPendragon,0,0,,
45,SeaOfHackerz,5,6,7,2023-08-03T16:38:51.493Z
45,ArcaneLink,0,0,,
45,MaScroll-1,0,0,,
45,MaScroll-2,0,0,,
45,NorthernFiles,0,0,,
45,UberPendragon,0,0,,
46,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
46,ArcaneLink,0,0,,
46,MaScroll-1,0,0,,
46,MaScroll-2,0,0,,
46,NorthernFiles,0,0,,
46,UberPendragon,0,0,,
47,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
47,ArcaneLink,0,0,,
47,MaScroll-1,0,0,,
47,MaScroll-2,0,0,,
47,NorthernFiles,0,0,,
47,UberPendragon,0,0,,
48,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
48,ArcaneLink,0,0,,
48,MaScroll-1,0,0,,
48,MaScroll-2,0,0,,
48,NorthernFiles,0,0,,
48,UberPendragon,0,0,,
49,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
49,ArcaneLink,0,0,,
49,MaScroll-1,0,0,,
49,MaScroll-2,0,0,,
49,NorthernFiles,0,0,,
49,UberPendragon,0,0,,
50,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
50,ArcaneLink,0,0,,
50,MaScroll-1,0,0,,
50,MaScroll-2,0,0,,
50,NorthernFiles,0,0,,
50,UberPendragon,0,0,,
51,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
51,ArcaneLink,0,0,,
51,MaScroll-1,0,0,,
51,MaScroll-2,0,0,,
51,NorthernFiles,0,0,,
51,UberPendragon,0,0,,
52,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
52,ArcaneLink,0,0,,
52,MaScroll-1,0,0,,
52,MaScroll-2,0,0,,
52,NorthernFiles,0,0,,
52,UberPendragon,0,0,,
53,SeaOfHackerz,4,5,7,2023-08-03T16:38:51.493Z
53,ArcaneLink,0,0,,
53,MaScroll-1,0,0,,
53,MaScroll-2,0,0,,
53,NorthernFiles,0,0,,
53,UberPendragon,0,0,,
54,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
54,ArcaneLink,0,0,,
54,MaScroll-1,0,0,,
54,MaScroll-2,0,0,,
54,NorthernFiles,0,0,,
54,UberPendragon,0,0,,
55,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
55,ArcaneLink,0,0,,
55,MaScroll-1,0,0,,
55,MaScroll-2,0,0,,
55,NorthernFiles,0,0,,
55,UberPendragon,0,0,,
56,SeaOfHackerz,5,7,7,2023-08-03T16:38:51.493Z
56,ArcaneLink,0,0,,
56,MaScroll-1,0,0,,
56,MaScroll-2,0,0,,
56,NorthernFiles,0,0,,
56,UberPendragon,0,0,,
57,SeaOfHackerz,5,9,7,2023-08-03T16:38:51.493Z
57,ArcaneLink,0,0,,
57,MaScroll-1,0,0,,
57,MaScroll-2,0,0,,
57,NorthernFiles,0,0,,
57,UberPendragon,0,0,,
58,SeaOfHackerz,5,8,7,2023-08-03T16:38:51.493Z
58,ArcaneLink,0,0,,
58,MaScroll-1,0,0,,
58,MaScroll-2,0,0,,
58,NorthernFiles,0,0,,
58,UberPendragon,0,0,,
59,SeaOfHackerz,5,8,7,2023-08-03T16:38:51.493Z
59,ArcaneLink,0,0,,
59,MaScroll-1,0,0,,
59,MaScroll-2,0,0,,
59,NorthernFiles,0,0,,
59,UberPendragon,0,0,,
60,SeaOfHackerz,5,9,7,2023-08-03T16:38:51.493Z
60,ArcaneLink,0,0,,
60,MaScroll-1,0,0,,
60,MaScroll-2,0,0,,
60,NorthernFiles,0,0,,
60,UberPendragon,0,0,,
61,SeaOfHackerz,5,7,7,2023-08-03T16:38:51.493Z
61,ArcaneLink,0,0,,
61,MaScroll-1,0,0,,
61,MaScroll-2,0,0,,
61,NorthernFiles,0,0,,
61,UberPendragon,0,0,,
62,SeaOfHackerz,5,8,7,2023-08-03T16:38:51.493Z
62,ArcaneLink,0,0,,
62,MaScroll-1,0,0,,
62,MaScroll-2,0,0,,
62,NorthernFiles,0,0,,
62,UberPendragon,0,0,,
63,SeaOfHackerz,5,8,7,2023-08-03T16:38:51.493Z
63,ArcaneLink,0,0,,
63,MaScroll-1,0,0,,
63,MaScroll-2,0,0,,
63,NorthernFiles,0,0,,
63,UberPendragon,0,0,,
64,SeaOfHackerz,5,7,7,2023-08-03T16:38:51.493Z
64,ArcaneLink,0,0,,
64,MaScroll-1,0,0,,
64,MaScroll-2,0,0,,
64,NorthernFiles,0,0,,
64,UberPendragon,0,0,,
65,SeaOfHackerz,4,7,7,2023-08-03T16:38:51.493Z
65,ArcaneLink,0,0,,
65,MaScroll-1,0,0,,
65,MaScroll-2,0,0,,
65,NorthernFiles,0,0,,
65,UberPendragon,0,0,,
66,SeaOfHackerz,4,9,7,2023-08-03T16:38:51.493Z
66,ArcaneLink,0,0,,
66,MaScroll-1,0,0,,
66,MaScroll-2,0,0,,
66,NorthernFiles,0,0,,
66,UberPendragon,0,0,,
67,SeaOfHackerz,5,9,7,2023-08-03T16:38:51.493Z
67,ArcaneLink,0,0,,
67,MaScroll-1,0,0,,
67,MaScroll-2,0,0,,
67,NorthernFiles,0,0,,
67,UberPendragon,0,0,,
68,SeaOfHackerz,5,9,7,2023-08-03T16:38:51.493Z
68,ArcaneLink,0,0,,
68,MaScroll-1,0,0,,
68,MaScroll-2,0,0,,
68,NorthernFiles,0,0,,
68,UberPendragon,0,0,,
69,SeaOfHackerz,5,10,7,2023-08-03T16:38:51.493Z
69,ArcaneLink,0,0,,
69,MaScroll-1,0,0,,
69,MaScroll-2,0,0,,
69,NorthernFiles,0,0,,
69,UberPendragon,0,0,,
70,SeaOfHackerz,5,9,7,2023-08-03T16:38:51.493Z
70,ArcaneLink,0,0,,
70,MaScroll-1,0,0,,
70,MaScroll-2,0,0,,
70,NorthernFiles,0,0,,
70,UberPendragon,0,0,,
71,SeaOfHackerz,5,9,7,2023-08-03T16:38:51.493Z
71,ArcaneLink,0,0,,
71,MaScroll-1,0,0,,
71,MaScroll-2,0,0,,
71,NorthernFiles,0,0,,
71,UberPendragon,0,0,,
72,SeaOfHackerz,5,8,7,2023-08-03T16:38:51.493Z
72,ArcaneLink,0,0,,
72,MaScroll-1,0,0,,
72,MaScroll-2,0,0,,
72,NorthernFiles,0,0,,
72,UberPendragon,0,0,,
73,SeaOfHackerz,5,7,7,2023-08-03T16:38:51.493Z
73,ArcaneLink,0,0,,
73,MaScroll-1,0,0,,
73,MaScroll-2,0,0,,
73,NorthernFiles,0,0,,
73,UberPendragon,0,0,,
74,SeaOfHackerz,6,8,7,2023-08-03T16:38:51.493Z
74,ArcaneLink,0,0,,
74,MaScroll-1,0,0,,
74,MaScroll-2,0,0,,
74,NorthernFiles,0,0,,
74,UberPendragon,0,0,,
75,SeaOfHackerz,5,8,7,2023-08-03T16:38:51.493Z
75,ArcaneLink,0,0,,
75,MaScroll-1,0,0,,
75,MaScroll-2,0,0,,
75,NorthernFiles,0,0,,
75,UberPendragon,0,0,,
76,SeaOfHackerz,6,7,7,2023-08-03T16:38:51.493Z
76,ArcaneLink,0,0,,
76,MaScroll-1,0,0,,
76,MaScroll-2,0,0,,
76,NorthernFiles,0,0,,
76,UberPendragon,0,0,,
77,SeaOfHackerz,6,8,7,2023-08-03T16:38:51.493Z
77,ArcaneLink,0,0,,
77,MaScroll-1,0,0,,
77,MaScroll-2,0,0,,
77,NorthernFiles,0,0,,
77,UberPendragon,0,0,,
78,SeaOfHackerz,6,9,7,2023-08-03T16:38:51.493Z
78,ArcaneLink,0,0,,
78,MaScroll-1,0,0,,
78,MaScroll-2,0,0,,
78,NorthernFiles,0,0,,
78,UberPendragon,0,0,,
79,SeaOfHackerz,6,7,7,2023-08-03T16:38:51.493Z
79,ArcaneLink,0,0,,
79,MaScroll-1,0,0,,
79,MaScroll-2,0,0,,
79,NorthernFiles,0,0,,
79,UberPendragon,0,0,,
80,SeaOfHackerz,6,8,7,2023-08-03T16:38:51.493Z
80,ArcaneLink,0,0,,
80,MaScroll-1,0,0,,
80,MaScroll-2,0,0,,
80,NorthernFiles,0,0,,
80,UberPendragon,0,0,,
81,SeaOfHackerz,6,8,7,2023-08-03T16:38:51.493Z
